2025-09-28 15:23:37,270 - INFO - DNS General iniciado en 0.0.0.0:50005
2025-09-28 15:23:37,271 - INFO - Esperando registros de servidores...
2025-09-28 15:26:52,168 - INFO - DNS General iniciado en 127.0.0.1:50005
2025-09-28 15:26:52,170 - INFO - Esperando registros de servidores...
2025-09-28 15:28:28,230 - INFO - Petición de ('127.0.0.1', 51046): registrar_servidor
2025-09-28 15:28:28,230 - INFO - Servidor SERVER1 registrado con 4 archivos
2025-09-28 15:28:58,233 - INFO - Petición de ('127.0.0.1', 60749): heartbeat
2025-09-28 15:29:28,234 - INFO - Petición de ('127.0.0.1', 63580): heartbeat
2025-09-28 15:29:58,235 - INFO - Petición de ('127.0.0.1', 61191): heartbeat
2025-09-28 15:30:28,237 - INFO - Petición de ('127.0.0.1', 61735): heartbeat
2025-09-28 15:30:58,239 - INFO - Petición de ('127.0.0.1', 63233): heartbeat
2025-09-28 15:31:40,474 - INFO - Petición de ('127.0.0.1', 51602): registrar_servidor
2025-09-28 15:31:40,475 - INFO - Servidor SERVER1 registrado con 4 archivos
2025-09-28 15:31:45,456 - INFO - Petición de ('127.0.0.1', 55688): registrar_servidor
2025-09-28 15:31:45,457 - INFO - Servidor SERVER_MARCO registrado con 0 archivos
2025-09-28 15:31:51,200 - INFO - Petición de ('127.0.0.1', 64614): registrar_servidor
2025-09-28 15:31:51,200 - INFO - Servidor server_gus registrado con 0 archivos
2025-09-28 15:31:56,177 - INFO - Petición de ('127.0.0.1', 62991): registrar_servidor
2025-09-28 15:31:56,177 - INFO - Servidor server_christian registrado con 0 archivos
2025-09-28 15:32:00,889 - INFO - Petición de ('127.0.0.1', 49538): registrar_servidor
2025-09-28 15:32:00,890 - INFO - Servidor server_dan registrado con 0 archivos
2025-09-28 15:32:10,477 - INFO - Petición de ('127.0.0.1', 56596): heartbeat
2025-09-28 15:32:15,459 - INFO - Petición de ('127.0.0.1', 60897): heartbeat
2025-09-28 15:32:21,203 - INFO - Petición de ('127.0.0.1', 58880): heartbeat
